Id,ProductId,UserId,Score,Time,Summary,Text,clean_text,sentiment,words,filtered_words
213,B0009XLVGA,A2LWOW7SO2QPML,2,2011-07-13 00:00:00,Nearly killed the cats,"Too much of a good thing? We worked this kibble in over time, slowly shifting the percentage of Felidae to national junk-food brand until the bowl was all natural. By this time, the cats couldn't keep it in or down. What a mess. We've moved on.",too much of a good thing we worked this kibble in over time slowly shifting the percentage of felidae to national junkfood brand until the bowl was all natural by this time the cats couldnt keep it in or down what a mess weve moved on,Negative,"[""too"",""much"",""of"",""a"",""good"",""thing"",""we"",""worked"",""this"",""kibble"",""in"",""over"",""time"",""slowly"",""shifting"",""the"",""percentage"",""of"",""felidae"",""to"",""national"",""junkfood"",""brand"",""until"",""the"",""bowl"",""was"",""all"",""natural"",""by"",""this"",""time"",""the"",""cats"",""couldnt"",""keep"",""it"",""in"",""or"",""down"",""what"",""a"",""mess"",""weve"",""moved"",""on""]","[""much"",""good"",""thing"",""worked"",""kibble"",""time"",""slowly"",""shifting"",""percentage"",""felidae"",""national"",""junkfood"",""brand"",""bowl"",""natural"",""time"",""cats"",""couldnt"",""keep"",""mess"",""weve"",""moved""]"
243,B001EO5ZMY,A1DAHZRJTX5X1Z,5,2011-04-14 00:00:00,My everyday cup of Tea,"Hi, I have to have black tea everyday. I have done it in the past 25 years and it's a habit of mine. Ahmad tea is one of my favorite brands and I highly recommend it if you like black tea. I think this is going to remain my favorite for the next 100 years or so :)",hi i have to have black tea everyday i have done it in the past 25 years and its a habit of mine ahmad tea is one of my favorite brands and i highly recommend it if you like black tea i think this is going to remain my favorite for the next 100 years or so ,Positive,"[""hi"",""i"",""have"",""to"",""have"",""black"",""tea"",""everyday"",""i"",""have"",""done"",""it"",""in"",""the"",""past"",""25"",""years"",""and"",""its"",""a"",""habit"",""of"",""mine"",""ahmad"",""tea"",""is"",""one"",""of"",""my"",""favorite"",""brands"",""and"",""i"",""highly"",""recommend"",""it"",""if"",""you"",""like"",""black"",""tea"",""i"",""think"",""this"",""is"",""going"",""to"",""remain"",""my"",""favorite"",""for"",""the"",""next"",""100"",""years"",""or"",""so""]","[""hi"",""black"",""tea"",""everyday"",""done"",""past"",""25"",""years"",""habit"",""mine"",""ahmad"",""tea"",""one"",""favorite"",""brands"",""highly"",""recommend"",""like"",""black"",""tea"",""think"",""going"",""remain"",""favorite"",""next"",""100"",""years""]"
846,B000UWSQT0,AL7ASCO6NWTJ6,5,2008-08-04 00:00:00,Where Has This Candy Been?,This is certainly the best caramels I have ever had.  I just wish it came in bigger pieces.  I finished the whole box in one sitting!  I will certainly buy them again.,this is certainly the best caramels i have ever had i just wish it came in bigger pieces i finished the whole box in one sitting i will certainly buy them again,Positive,"[""this"",""is"",""certainly"",""the"",""best"",""caramels"",""i"",""have"",""ever"",""had"",""i"",""just"",""wish"",""it"",""came"",""in"",""bigger"",""pieces"",""i"",""finished"",""the"",""whole"",""box"",""in"",""one"",""sitting"",""i"",""will"",""certainly"",""buy"",""them"",""again""]","[""certainly"",""best"",""caramels"",""ever"",""wish"",""came"",""bigger"",""pieces"",""finished"",""whole"",""box"",""one"",""sitting"",""certainly"",""buy""]"
1070,B001QXUTLU,AHVASC86C9VPS,1,2012-02-23 00:00:00,THIS IS NOT THE PRODUCT THAT I RECEIVED. THE ACTUAL PRODUCT MAY CARRY HEALTH RISKS FOR SOME COMSUMERS..,"""I purchased this product because of its name, """"Rumford NATURALS Corn Starch"""" (the word """"Naturals"""" appears large and clear on the pictured product label). Also",i purchased this product because of its name rumford naturals corn starch the word naturals appears large and clear on the pictured product label also,Negative,"[""i"",""purchased"",""this"",""product"",""because"",""of"",""its"",""name"",""rumford"",""naturals"",""corn"",""starch"",""the"",""word"",""naturals"",""appears"",""large"",""and"",""clear"",""on"",""the"",""pictured"",""product"",""label"",""also""]","[""purchased"",""product"",""name"",""rumford"",""naturals"",""corn"",""starch"",""word"",""naturals"",""appears"",""large"",""clear"",""pictured"",""product"",""label"",""also""]"
1216,B005O072PC,A2SBZQR76C5TXB,5,2010-10-21 00:00:00,"Tasty, and perfect sized.","I was surprised at the size of these potatoes. I have bought them at my local grocery store before and was disappointed that they were so small. These are perfect!! Tasty, cook just right. Love 'em!!",i was surprised at the size of these potatoes i have bought them at my local grocery store before and was disappointed that they were so small these are perfect tasty cook just right love em,Positive,"[""i"",""was"",""surprised"",""at"",""the"",""size"",""of"",""these"",""potatoes"",""i"",""have"",""bought"",""them"",""at"",""my"",""local"",""grocery"",""store"",""before"",""and"",""was"",""disappointed"",""that"",""they"",""were"",""so"",""small"",""these"",""are"",""perfect"",""tasty"",""cook"",""just"",""right"",""love"",""em""]","[""surprised"",""size"",""potatoes"",""bought"",""local"",""grocery"",""store"",""disappointed"",""small"",""perfect"",""tasty"",""cook"",""right"",""love"",""em""]"
1771,B001RVFDOO,A3QUY8I59F4D88,5,2009-12-26 00:00:00,Excellent Product,These chips are very good. Wish we could purchase them in our area. Great chance to try them in this offer.,these chips are very good wish we could purchase them in our area great chance to try them in this offer,Positive,"[""these"",""chips"",""are"",""very"",""good"",""wish"",""we"",""could"",""purchase"",""them"",""in"",""our"",""area"",""great"",""chance"",""to"",""try"",""them"",""in"",""this"",""offer""]","[""chips"",""good"",""wish"",""purchase"",""area"",""great"",""chance"",""try"",""offer""]"
2063,B001E5E29A,A2A3H95QZS31A3,3,2010-10-18 00:00:00,Not So Great,The best thing about this pancake and waffle mix is the can in which it comes.  I really like the convenience of the can and the fact that it reseals easily.<br />The batter cooked up nicely and the texture was OK.  However I was very disappointed in the flavor.  There were stong overtones of chemical flavors.<br />I will be experimenting with my own recipes in the future.,the best thing about this pancake and waffle mix is the can in which it comes i really like the convenience of the can and the fact that it reseals easilybr the batter cooked up nicely and the texture was ok however i was very disappointed in the flavor there were stong overtones of chemical flavorsbr i will be experimenting with my own recipes in the future,Neutral,"[""the"",""best"",""thing"",""about"",""this"",""pancake"",""and"",""waffle"",""mix"",""is"",""the"",""can"",""in"",""which"",""it"",""comes"",""i"",""really"",""like"",""the"",""convenience"",""of"",""the"",""can"",""and"",""the"",""fact"",""that"",""it"",""reseals"",""easilybr"",""the"",""batter"",""cooked"",""up"",""nicely"",""and"",""the"",""texture"",""was"",""ok"",""however"",""i"",""was"",""very"",""disappointed"",""in"",""the"",""flavor"",""there"",""were"",""stong"",""overtones"",""of"",""chemical"",""flavorsbr"",""i"",""will"",""be"",""experimenting"",""with"",""my"",""own"",""recipes"",""in"",""the"",""future""]","[""best"",""thing"",""pancake"",""waffle"",""mix"",""comes"",""really"",""like"",""convenience"",""fact"",""reseals"",""easilybr"",""batter"",""cooked"",""nicely"",""texture"",""ok"",""however"",""disappointed"",""flavor"",""stong"",""overtones"",""chemical"",""flavorsbr"",""experimenting"",""recipes"",""future""]"
2129,B004ET9OIW,A23HXI6HOU5VVP,5,2012-06-19 00:00:00,"good taste, baby love it","I've bought them many times. Good quality and good taste, baby love it, and I love it too. Reccommend it.",ive bought them many times good quality and good taste baby love it and i love it too reccommend it,Positive,"[""ive"",""bought"",""them"",""many"",""times"",""good"",""quality"",""and"",""good"",""taste"",""baby"",""love"",""it"",""and"",""i"",""love"",""it"",""too"",""reccommend"",""it""]","[""ive"",""bought"",""many"",""times"",""good"",""quality"",""good"",""taste"",""baby"",""love"",""love"",""reccommend""]"
2742,B003NDA970,A1ASB4OGGHXNBQ,2,2011-12-01 00:00:00,This is not hull-less popcorn! Or even close.,"Bought 6lbs of this popcorn based on reviews that the hulls are softer on this Baby White than on regular popcorn.  Not only are the hulls just as tough as regular popcorn, the corn pops up so tiny that it's about 1/3 hull, 2/3 popped corn per kernel! I was hoping to use this as a healthy snack for my kids who love popcorn but not the hulls.<br />I popped this using every tip I could find on the internet; all experiments still resulted in a tough hull.",bought 6lbs of this popcorn based on reviews that the hulls are softer on this baby white than on regular popcorn not only are the hulls just as tough as regular popcorn the corn pops up so tiny that its about 13 hull 23 popped corn per kernel i was hoping to use this as a healthy snack for my kids who love popcorn but not the hullsbr i popped this using every tip i could find on the internet all experiments still resulted in a tough hull,Negative,"[""bought"",""6lbs"",""of"",""this"",""popcorn"",""based"",""on"",""reviews"",""that"",""the"",""hulls"",""are"",""softer"",""on"",""this"",""baby"",""white"",""than"",""on"",""regular"",""popcorn"",""not"",""only"",""are"",""the"",""hulls"",""just"",""as"",""tough"",""as"",""regular"",""popcorn"",""the"",""corn"",""pops"",""up"",""so"",""tiny"",""that"",""its"",""about"",""13"",""hull"",""23"",""popped"",""corn"",""per"",""kernel"",""i"",""was"",""hoping"",""to"",""use"",""this"",""as"",""a"",""healthy"",""snack"",""for"",""my"",""kids"",""who"",""love"",""popcorn"",""but"",""not"",""the"",""hullsbr"",""i"",""popped"",""this"",""using"",""every"",""tip"",""i"",""could"",""find"",""on"",""the"",""internet"",""all"",""experiments"",""still"",""resulted"",""in"",""a"",""tough"",""hull""]","[""bought"",""6lbs"",""popcorn"",""based"",""reviews"",""hulls"",""softer"",""baby"",""white"",""regular"",""popcorn"",""hulls"",""tough"",""regular"",""popcorn"",""corn"",""pops"",""tiny"",""13"",""hull"",""23"",""popped"",""corn"",""per"",""kernel"",""hoping"",""use"",""healthy"",""snack"",""kids"",""love"",""popcorn"",""hullsbr"",""popped"",""using"",""every"",""tip"",""find"",""internet"",""experiments"",""still"",""resulted"",""tough"",""hull""]"
2774,B00002NCJC,A196AJHU9EASJN,4,2010-08-28 00:00:00,thirty bucks?,"Why is this $[...] when the same product is available for $[...] here?<br />http://www.amazon.com/VICTOR-FLY-MAGNET-BAIT-REFILL/dp/B00004RBDY<br /><br />The Victor M380 and M502 traps are unreal, of course -- total fly genocide. Pretty stinky, but only right nearby.",why is this when the same product is available for herebr httpwwwamazoncomvictorflymagnetbaitrefilldpb00004rbdybr br the victor m380 and m502 traps are unreal of course total fly genocide pretty stinky but only right nearby,Positive,"[""why"",""is"",""this"",""when"",""the"",""same"",""product"",""is"",""available"",""for"",""herebr"",""httpwwwamazoncomvictorflymagnetbaitrefilldpb00004rbdybr"",""br"",""the"",""victor"",""m380"",""and"",""m502"",""traps"",""are"",""unreal"",""of"",""course"",""total"",""fly"",""genocide"",""pretty"",""stinky"",""but"",""only"",""right"",""nearby""]","[""product"",""available"",""herebr"",""httpwwwamazoncomvictorflymagnetbaitrefilldpb00004rbdybr"",""br"",""victor"",""m380"",""m502"",""traps"",""unreal"",""course"",""total"",""fly"",""genocide"",""pretty"",""stinky"",""right"",""nearby""]"
2887,B007OXJLM4,A13PNJP7MSZ5FJ,5,2011-01-25 00:00:00,Love this coffee,"I find many K-Cups are weak and not what I am used to (Starbucks), but this french roast is a pretty good subsitute to the $2 coffee I get from the store.",i find many kcups are weak and not what i am used to starbucks but this french roast is a pretty good subsitute to the 2 coffee i get from the store,Positive,"[""i"",""find"",""many"",""kcups"",""are"",""weak"",""and"",""not"",""what"",""i"",""am"",""used"",""to"",""starbucks"",""but"",""this"",""french"",""roast"",""is"",""a"",""pretty"",""good"",""subsitute"",""to"",""the"",""2"",""coffee"",""i"",""get"",""from"",""the"",""store""]","[""find"",""many"",""kcups"",""weak"",""used"",""starbucks"",""french"",""roast"",""pretty"",""good"",""subsitute"",""2"",""coffee"",""get"",""store""]"
2960,B001EQ5ILA,A3W4IZYOXAT1VN,5,2011-05-03 00:00:00,Much better than tea bags,"Same great taste as the honeybush tea bags, but so much more green!  Thank you for packaging this in bulk!",same great taste as the honeybush tea bags but so much more green thank you for packaging this in bulk,Positive,"[""same"",""great"",""taste"",""as"",""the"",""honeybush"",""tea"",""bags"",""but"",""so"",""much"",""more"",""green"",""thank"",""you"",""for"",""packaging"",""this"",""in"",""bulk""]","[""great"",""taste"",""honeybush"",""tea"",""bags"",""much"",""green"",""thank"",""packaging"",""bulk""]"
3587,B004X8TK9W,A3L9ZT7SRJYLVH,5,2011-10-16 00:00:00,DeeLish Cookies,It is hard to stay out of these wonderful cookies! Just the right amount of chocolate chips and the texture is melt-in-your-mouth good!,it is hard to stay out of these wonderful cookies just the right amount of chocolate chips and the texture is meltinyourmouth good,Positive,"[""it"",""is"",""hard"",""to"",""stay"",""out"",""of"",""these"",""wonderful"",""cookies"",""just"",""the"",""right"",""amount"",""of"",""chocolate"",""chips"",""and"",""the"",""texture"",""is"",""meltinyourmouth"",""good""]","[""hard"",""stay"",""wonderful"",""cookies"",""right"",""amount"",""chocolate"",""chips"",""texture"",""meltinyourmouth"",""good""]"
